family,father,mother,children,childGender,childHeight
001,78.5,67.0,4,male,73.2
001,78.5,67.0,4,female,69.2
001,78.5,67.0,4,female,69.0
001,78.5,67.0,4,female,69.0
002,75.5,66.5,4,male,73.5
002,75.5,66.5,4,male,72.5
002,75.5,66.5,4,female,65.5
002,75.5,66.5,4,female,65.5
003,75.0,64.0,2,male,71.0
003,75.0,64.0,2,female,68.0
004,75.0,64.0,5,male,70.5
004,75.0,64.0,5,male,68.5
004,75.0,64.0,5,female,67.0
004,75.0,64.0,5,female,64.5
004,75.0,64.0,5,female,63.0
005,75.0,58.5,6,male,72.0
005,75.0,58.5,6,male,69.0
005,75.0,58.5,6,male,68.0
005,75.0,58.5,6,female,66.5
005,75.0,58.5,6,female,62.5
005,75.0,58.5,6,female,62.5
006,74.0,68.0,1,female,69.5
007,74.0,68.0,6,male,76.5
007,74.0,68.0,6,male,74.0
007,74.0,68.0,6,male,73.0
007,74.0,68.0,6,male,73.0
007,74.0,68.0,6,female,70.5
007,74.0,68.0,6,female,64.0
008,74.0,66.5,3,female,70.5
008,74.0,66.5,3,female,68.0
008,74.0,66.5,3,female,66.0
009,74.5,66.0,1,female,66.0
010,74.0,65.5,1,female,65.5
011,74.0,62.0,8,male,74.0
011,74.0,62.0,8,male,70.0
011,74.0,62.0,8,female,68.0
011,74.0,62.0,8,female,67.0
011,74.0,62.0,8,female,67.0
011,74.0,62.0,8,female,66.0
011,74.0,62.0,8,female,63.5
011,74.0,62.0,8,female,63.0
012,74.0,61.0,1,female,65.0
013,73.0,67.0,2,male,71.0
013,73.0,67.0,2,female,62.0
014,73.0,67.0,2,male,68.0
014,73.0,67.0,2,male,67.0
015,73.0,66.5,3,male,71.0
015,73.0,66.5,3,male,70.5
015,73.0,66.5,3,female,66.7
016,73.0,65.0,9,male,72.0
016,73.0,65.0,9,male,70.5
016,73.0,65.0,9,male,70.2
016,73.0,65.0,9,male,70.2
016,73.0,65.0,9,male,69.2
016,73.0,65.0,9,female,68.7
016,73.0,65.0,9,female,66.5
016,73.0,65.0,9,female,64.5
016,73.0,65.0,9,female,63.5
017,73.0,64.5,6,male,74.0
017,73.0,64.5,6,male,73.0
017,73.0,64.5,6,male,71.5
017,73.0,64.5,6,male,62.5
017,73.0,64.5,6,female,66.5
017,73.0,64.5,6,female,62.3
018,73.0,64.0,3,female,66.0
018,73.0,64.0,3,female,64.5
018,73.0,64.0,3,female,64.0
019,73.2,63.0,1,female,62.7
020,72.7,69.0,8,male,73.2
020,72.7,69.0,8,male,73.0
020,72.7,69.0,8,male,72.7
020,72.7,69.0,8,female,70.0
020,72.7,69.0,8,female,69.0
020,72.7,69.0,8,female,68.5
020,72.7,69.0,8,female,68.0
020,72.7,69.0,8,female,66.0
021,72.0,68.0,3,male,73.0
021,72.0,68.0,3,female,68.5
021,72.0,68.0,3,female,68.0
022,72.0,67.0,3,male,73.0
022,72.0,67.0,3,male,71.0
022,72.0,67.0,3,female,67.0
023,72.0,65.0,7,male,74.2
023,72.0,65.0,7,male,70.5
023,72.0,65.0,7,male,69.5
023,72.0,65.0,7,female,66.0
023,72.0,65.0,7,female,65.5
023,72.0,65.0,7,female,65.0
023,72.0,65.0,7,female,65.0
024,72.0,65.5,1,female,65.5
025,72.0,64.0,2,female,66.0
025,72.0,64.0,2,female,63.0
026,72.0,63.0,5,male,70.5
026,72.0,63.0,5,male,70.5
026,72.0,63.0,5,male,69.0
026,72.0,63.0,5,female,65.0
026,72.0,63.0,5,female,63.0
027,72.0,63.0,3,male,69.0
027,72.0,63.0,3,male,67.0
027,72.0,63.0,3,female,63.0
028,72.0,63.0,6,male,73.0
028,72.0,63.0,6,male,67.0
028,72.0,63.0,6,female,70.5
028,72.0,63.0,6,female,70.0
028,72.0,63.0,6,female,66.5
028,72.0,63.0,6,female,63.0
029,72.5,63.5,3,female,67.5
029,72.5,63.5,3,female,67.2
029,72.5,63.5,3,female,66.7
030,72.0,62.0,1,female,64.0
031,72.5,62.0,6,male,71.0
031,72.5,62.0,6,male,70.0
031,72.5,62.0,6,male,70.0
031,72.5,62.0,6,female,66.0
031,72.5,62.0,6,female,65.0
031,72.5,62.0,6,female,65.0
032,72.0,62.0,5,male,74.0
032,72.0,62.0,5,male,72.0
032,72.0,62.0,5,male,69.0
032,72.0,62.0,5,female,67.5
032,72.0,62.0,5,female,63.5
033,72.0,62.0,5,male,72.0
033,72.0,62.0,5,male,71.5
033,72.0,62.0,5,male,71.5
033,72.0,62.0,5,male,70.0
033,72.0,62.0,5,female,68.0
034,72.0,61.0,1,female,65.7
035,71.0,69.0,5,male,78.0
035,71.0,69.0,5,male,74.0
035,71.0,69.0,5,male,73.0
035,71.0,69.0,5,male,72.0
035,71.0,69.0,5,female,67.0
036,71.0,67.0,4,male,73.2
036,71.0,67.0,4,male,73.0
036,71.0,67.0,4,male,69.0
036,71.0,67.0,4,female,67.0
037,71.0,66.0,4,male,70.0
037,71.0,66.0,4,female,67.0
037,71.0,66.0,4,female,67.0
037,71.0,66.0,4,female,66.5
038,71.0,66.0,6,male,70.0
038,71.0,66.0,6,male,69.0
038,71.0,66.0,6,male,68.5
038,71.0,66.0,6,female,66.0
038,71.0,66.0,6,female,64.5
038,71.0,66.0,6,female,63.0
039,71.0,66.0,2,male,71.0
039,71.0,66.0,2,female,67.0
040,71.0,66.0,5,male,76.0
040,71.0,66.0,5,male,72.0
040,71.0,66.0,5,male,71.0
040,71.0,66.0,5,male,66.0
040,71.0,66.0,5,female,66.0
041,71.7,65.5,1,male,70.5
042,71.0,65.5,6,male,72.0
042,71.0,65.5,6,male,72.0
042,71.0,65.5,6,male,71.0
042,71.0,65.5,6,male,69.0
042,71.0,65.5,6,female,66.0
042,71.0,65.5,6,female,65.0
043,71.5,65.5,2,male,73.0
043,71.5,65.5,2,female,65.2
044,71.5,65.0,2,male,68.5
044,71.5,65.0,2,male,67.7
045,71.0,65.0,3,male,68.0
045,71.0,65.0,3,male,68.0
045,71.0,65.0,3,female,62.0
046,71.0,64.0,8,female,68.0
046,71.0,64.0,8,female,68.0
046,71.0,64.0,8,female,67.5
046,71.0,64.0,8,female,66.5
046,71.0,64.0,8,female,66.5
046,71.0,64.0,8,female,66.0
046,71.0,64.0,8,female,65.5
046,71.0,64.0,8,female,65.0
047,71.7,64.5,4,male,72.0
047,71.7,64.5,4,male,71.0
047,71.7,64.5,4,male,70.5
047,71.7,64.5,4,female,67.0
048,71.0,64.0,3,male,68.0
048,71.0,64.0,3,male,68.0
048,71.0,64.0,3,male,68.0
049,71.5,64.5,7,male,72.0
049,71.5,64.5,7,male,71.0
049,71.5,64.5,7,male,70.0
049,71.5,64.5,7,female,66.0
049,71.5,64.5,7,female,64.5
049,71.5,64.5,7,female,64.5
049,71.5,64.5,7,female,62.0
050,71.0,64.5,2,male,73.0
050,71.0,64.5,2,female,62.0
051,71.2,63.0,2,female,67.5
051,71.2,63.0,2,female,64.5
052,71.0,63.5,5,male,71.0
052,71.0,63.5,5,male,67.0
052,71.0,63.5,5,female,66.0
052,71.0,63.5,5,female,65.0
052,71.0,63.5,5,female,63.5
053,71.0,63.0,9,male,71.0
053,71.0,63.0,9,male,70.0
053,71.0,63.0,9,male,70.0
053,71.0,63.0,9,male,64.0
053,71.0,63.0,9,female,65.0
053,71.0,63.0,9,female,65.0
053,71.0,63.0,9,female,64.0
053,71.0,63.0,9,female,63.0
053,71.0,63.0,9,female,63.0
054,71.0,63.0,4,male,71.0
054,71.0,63.0,4,male,71.0
054,71.0,63.0,4,male,70.0
054,71.0,63.0,4,female,63.5
055,71.0,62.0,5,male,71.0
055,71.0,62.0,5,male,70.0
055,71.0,62.0,5,female,64.5
055,71.0,62.0,5,female,62.5
055,71.0,62.0,5,female,61.5
056,71.0,62.0,5,male,72.0
056,71.0,62.0,5,male,70.5
056,71.0,62.0,5,male,70.5
056,71.0,62.0,5,female,64.5
056,71.0,62.0,5,female,60.0
057,71.0,62.5,5,male,70.0
057,71.0,62.5,5,female,64.0
057,71.0,62.5,5,female,64.0
057,71.0,62.5,5,female,64.0
057,71.0,62.5,5,female,62.5
058,71.0,62.0,7,male,70.5
058,71.0,62.0,7,male,70.0
058,71.0,62.0,7,male,69.0
058,71.0,62.0,7,male,69.0
058,71.0,62.0,7,male,66.0
058,71.0,62.0,7,female,64.5
058,71.0,62.0,7,female,64.0
059,71.0,61.0,1,female,62.0
060,71.0,58.0,2,male,71.5
060,71.0,58.0,2,male,69.0
061,70.0,69.0,4,male,71.0
061,70.0,69.0,4,male,70.0
061,70.0,69.0,4,male,69.0
061,70.0,69.0,4,female,69.0
062,70.0,69.0,6,male,70.0
062,70.0,69.0,6,male,68.7
062,70.0,69.0,6,female,68.0
062,70.0,69.0,6,female,66.0
062,70.0,69.0,6,female,64.0
062,70.0,69.0,6,female,62.0
063,70.0,68.0,1,male,75.0
064,70.0,67.0,5,male,70.0
064,70.0,67.0,5,male,69.0
064,70.0,67.0,5,female,66.0
064,70.0,67.0,5,female,64.0
064,70.0,67.0,5,female,60.0
065,70.0,67.0,1,female,67.5
066,70.0,66.5,11,male,73.0
066,70.0,66.5,11,male,72.0
066,70.0,66.5,11,male,72.0
066,70.0,66.5,11,male,66.5
066,70.0,66.5,11,female,69.2
066,70.0,66.5,11,female,67.2
066,70.0,66.5,11,female,66.5
066,70.0,66.5,11,female,66.0
066,70.0,66.5,11,female,66.0
066,70.0,66.5,11,female,64.2
066,70.0,66.5,11,female,63.7
067,70.5,65.0,4,male,72.0
067,70.5,65.0,4,male,70.2
067,70.5,65.0,4,male,69.0
067,70.5,65.0,4,male,68.5
068,70.5,65.0,5,female,68.0
068,70.5,65.0,5,female,65.0
068,70.5,65.0,5,female,61.5
068,70.5,65.0,5,female,61.0
068,70.5,65.0,5,female,61.0
069,70.0,65.0,8,male,73.0
069,70.0,65.0,8,male,72.0
069,70.0,65.0,8,male,70.5
069,70.0,65.0,8,male,65.0
069,70.0,65.0,8,male,65.0
069,70.0,65.0,8,female,64.5
069,70.0,65.0,8,female,63.0
069,70.0,65.0,8,female,62.0
070,70.0,65.0,5,male,67.0
070,70.0,65.0,5,male,65.0
070,70.0,65.0,5,female,64.5
070,70.0,65.0,5,female,62.5
070,70.0,65.0,5,female,62.5
071,70.0,65.0,6,male,70.0
071,70.0,65.0,6,male,70.0
071,70.0,65.0,6,female,67.0
071,70.0,65.0,6,female,65.0
071,70.0,65.0,6,female,65.0
071,70.0,65.0,6,female,63.0
072,70.0,65.0,7,male,79.0
072,70.0,65.0,7,male,75.0
072,70.0,65.0,7,male,71.0
072,70.0,65.0,7,female,69.0
072,70.0,65.0,7,female,67.0
072,70.0,65.0,7,female,65.7
072,70.0,65.0,7,female,62.0
073,70.0,65.0,3,male,73.0
073,70.0,65.0,3,male,72.5
073,70.0,65.0,3,female,65.0
074,70.0,65.0,2,male,69.0
074,70.0,65.0,2,male,69.0
075,70.0,64.7,7,male,72.0
075,70.0,64.7,7,male,70.0
075,70.0,64.7,7,male,68.7
075,70.0,64.7,7,female,66.5
075,70.0,64.7,7,female,65.5
075,70.0,64.7,7,female,64.7
075,70.0,64.7,7,female,64.5
076,70.0,64.0,7,male,70.7
076,70.0,64.0,7,male,70.0
076,70.0,64.0,7,male,68.0
076,70.0,64.0,7,male,67.0
076,70.0,64.0,7,male,66.0
076,70.0,64.0,7,male,65.0
076,70.0,64.0,7,female,67.0
077,70.0,64.0,4,male,70.0
077,70.0,64.0,4,male,68.0
077,70.0,64.0,4,male,66.7
077,70.0,64.0,4,female,65.5
078,70.0,64.2,5,male,72.0
078,70.0,64.2,5,male,70.0
078,70.0,64.2,5,female,62.5
078,70.0,64.2,5,female,61.2
078,70.0,64.2,5,female,60.1
079,70.5,64.0,8,male,74.0
079,70.5,64.0,8,male,69.5
079,70.5,64.0,8,male,69.0
079,70.5,64.0,8,male,68.0
079,70.5,64.0,8,male,68.0
079,70.5,64.0,8,male,68.0
079,70.5,64.0,8,female,65.5
079,70.5,64.0,8,female,65.0
080,70.5,64.5,1,female,60.0
081,70.0,64.0,4,male,68.0
081,70.0,64.0,4,female,65.0
081,70.0,64.0,4,female,64.0
081,70.0,64.0,4,female,62.0
082,70.0,64.0,9,male,71.0
082,70.0,64.0,9,male,70.0
082,70.0,64.0,9,male,70.0
082,70.0,64.0,9,male,70.0
082,70.0,64.0,9,male,69.5
082,70.0,64.0,9,male,68.5
082,70.0,64.0,9,female,69.0
082,70.0,64.0,9,female,65.0
082,70.0,64.0,9,female,64.0
083,70.0,63.7,8,male,70.0
083,70.0,63.7,8,male,67.0
083,70.0,63.7,8,male,65.5
083,70.0,63.7,8,female,63.7
083,70.0,63.7,8,female,63.2
083,70.0,63.7,8,female,62.5
083,70.0,63.7,8,female,62.2
083,70.0,63.7,8,female,61.0
084,70.5,63.0,4,male,70.0
084,70.5,63.0,4,male,68.5
084,70.5,63.0,4,female,65.5
084,70.5,63.0,4,female,63.5
085,70.5,63.0,5,male,72.5
085,70.5,63.0,5,male,69.0
085,70.5,63.0,5,male,67.0
085,70.5,63.0,5,female,64.5
085,70.5,63.0,5,female,64.0
086,70.0,63.5,4,male,71.0
086,70.0,63.5,4,male,67.5
086,70.0,63.5,4,female,67.5
086,70.0,63.5,4,female,63.5
087,70.0,63.0,4,male,68.0
087,70.0,63.0,4,male,67.0
087,70.0,63.0,4,female,63.7
087,70.0,63.0,4,female,62.0
088,70.0,63.0,4,male,70.0
088,70.0,63.0,4,male,66.5
088,70.0,63.0,4,female,62.0
088,70.0,63.0,4,female,61.0
089,70.5,62.0,8,male,72.0
089,70.5,62.0,8,male,70.0
089,70.5,62.0,8,male,69.5
089,70.5,62.0,8,male,69.5
089,70.5,62.0,8,male,68.0
089,70.5,62.0,8,female,65.0
089,70.5,62.0,8,female,64.0
089,70.5,62.0,8,female,63.0
090,70.3,62.7,7,male,70.7
090,70.3,62.7,7,male,69.7
090,70.3,62.7,7,male,69.2
090,70.3,62.7,7,male,65.2
090,70.3,62.7,7,female,64.0
090,70.3,62.7,7,female,63.5
090,70.3,62.7,7,female,63.2
091,70.5,62.0,3,male,72.0
091,70.5,62.0,3,male,72.0
091,70.5,62.0,3,female,60.0
092,70.0,61.0,2,male,71.2
092,70.0,61.0,2,male,67.0
093,70.0,60.0,4,male,67.0
093,70.0,60.0,4,male,64.5
093,70.0,60.0,4,female,65.0
093,70.0,60.0,4,female,63.0
094,70.0,60.0,2,female,65.0
094,70.0,60.0,2,female,65.0
095,70.0,58.5,3,male,71.5
095,70.0,58.5,3,male,64.5
095,70.0,58.5,3,female,63.0
096,70.0,58.0,5,male,72.0
096,70.0,58.0,5,male,66.0
096,70.0,58.0,5,female,66.0
096,70.0,58.0,5,female,65.0
096,70.0,58.0,5,female,63.0
097,69.0,68.5,10,male,75.0
097,69.0,68.5,10,male,71.0
097,69.0,68.5,10,male,70.0
097,69.0,68.5,10,female,66.0
097,69.0,68.5,10,female,66.0
097,69.0,68.5,10,female,65.5
097,69.0,68.5,10,female,65.0
097,69.0,68.5,10,female,65.0
097,69.0,68.5,10,female,64.0
097,69.0,68.5,10,female,64.0
098,69.0,67.0,1,female,64.0
099,69.0,66.0,8,male,73.0
099,69.0,66.0,8,male,72.0
099,69.0,66.0,8,male,71.7
099,69.0,66.0,8,male,71.5
099,69.0,66.0,8,female,65.5
099,69.0,66.0,8,female,65.0
099,69.0,66.0,8,female,62.7
099,69.0,66.0,8,female,62.5
100,69.0,66.0,3,male,71.2
100,69.0,66.0,3,male,71.0
100,69.0,66.0,3,male,70.0
101,69.0,66.7,4,male,75.0
101,69.0,66.7,4,male,74.0
101,69.0,66.7,4,male,72.0
101,69.0,66.7,4,male,68.5
102,69.0,66.0,6,male,70.0
102,69.0,66.0,6,male,68.5
102,69.0,66.0,6,male,68.0
102,69.0,66.0,6,female,65.0
102,69.0,66.0,6,female,63.0
102,69.0,66.0,6,female,62.5
103,69.0,66.5,7,male,73.0
103,69.0,66.5,7,male,71.0
103,69.0,66.5,7,male,70.5
103,69.0,66.5,7,male,70.5
103,69.0,66.5,7,male,67.0
103,69.0,66.5,7,male,66.0
103,69.0,66.5,7,female,61.0
104,69.5,66.5,4,male,70.5
104,69.5,66.5,4,male,67.5
104,69.5,66.5,4,female,64.5
104,69.5,66.5,4,female,64.0
105,69.0,66.5,6,male,71.0
105,69.0,66.5,6,female,68.5
105,69.0,66.5,6,female,67.5
105,69.0,66.5,6,female,66.0
105,69.0,66.5,6,female,63.0
105,69.0,66.5,6,female,63.0
106,69.5,66.0,7,male,71.0
106,69.5,66.0,7,male,71.0
106,69.5,66.0,7,male,70.5
106,69.5,66.0,7,male,70.5
106,69.5,66.0,7,female,66.5
